ID,final_result,d_male,d_female,does father have a professional degree,does mother have a professional degree,d_stratum1,d_stratum2,d_stratum3,d_stratum4,d_stratum5,d_stratum6,d_level1sisben,d_level2sisben,d_level3sisben,PEOPLE_HOUSE,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,JOB,Private school,public school,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,QR_PRO,CR_PRO,CC_PRO,WC_PRO,FEP_PRO
54,4,0,1,0,1,0,0,1,0,0,0,0,0,0,4,1,1,1,1,0,0,1,1,1,1,0,1,0,65,51,45,63,55,75,71,92,99,162
55,3,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,1,1,1,0,0,1,1,1,0,0,1,0,54,49,42,55,40,77,29,65,71,138
56,3,1,0,1,1,0,0,1,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,69,63,58,61,50,99,77,27,8,167
57,4,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,1,0,1,1,1,1,1,0,1,0,63,62,57,56,64,90,78,82,82,120
58,4,1,0,1,0,0,0,0,0,0,1,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,64,65,61,64,78,98,87,87,96,161
59,4,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,1,0,0,1,1,1,1,0,1,0,60,60,59,67,70,83,85,63,62,188
60,4,1,0,1,0,0,1,0,0,0,0,0,0,0,6,1,1,1,1,1,0,1,1,1,1,0,1,0,80,75,61,81,96,97,97,96,82,172
61,4,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,1,1,1,0,0,1,0,69,67,78,100,62,97,96,100,59,187
62,4,1,0,0,0,0,0,1,0,0,0,0,0,0,9,1,1,1,1,0,0,1,1,1,1,0,1,0,60,60,61,61,59,84,79,73,87,174
63,3,1,0,1,1,0,0,0,0,1,0,0,0,0,3,1,1,1,1,0,1,1,1,1,1,0,1,0,65,47,29,56,54,83,48,41,34,119
64,4,1,0,1,1,0,0,0,0,1,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,74,81,61,75,82,88,85,84,63,124
65,4,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,60,60,65,70,75,92,89,87,14,186
66,3,1,0,1,1,0,0,0,0,1,0,0,0,0,4,1,0,1,1,0,0,0,1,1,0,0,1,0,74,62,56,64,73,99,29,26,7,102
67,4,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,1,1,0,0,1,0,69,62,68,73,46,82,97,64,64,162
68,4,1,0,0,0,0,0,1,0,0,0,0,0,0,5,1,1,1,1,0,1,1,1,1,1,0,1,0,65,51,51,61,53,94,80,69,33,165
