IDNo,ID,final_result,Female,Male,YoG,SGPA,CGPA100,CGPA200,CGPA300
83330,2872,Pass with distinction,1,0,1.5,4.06,4.73,4.45,4.5
37320,2873,Pass,0,1,1.5,3.13,2.82,3.04,2.74
93014,2874,Pass,0,1,1.5,2.36,4.42,3.98,3.5
42773,2875,Pass,0,1,1.5,4.14,4.36,3.43,4.07
53101,2876,Pass,0,1,1.5,2.5,3.8,3.15,3.05
44196,2877,Pass,0,1,1.5,3.06,4.47,3.18,3.89
62282,2878,Pass,0,1,1.5,2.05,4.42,2.89,3.47
81152,2879,Pass,0,1,1.5,3.13,4.18,3.17,3.73
39932,2880,Pass,1,0,1.5,3.47,4.36,3.57,4.07
88258,2881,Pass,1,0,1.5,3.05,3.27,2.86,3
23692,2882,Pass,0,1,1.5,2.97,3.78,2.93,3.23
61334,2883,Pass,1,0,1.5,3.54,3.38,2.96,2.86
55491,2884,Pass,1,0,1.5,2.23,4.38,3.78,3.7
73289,2885,Pass,0,1,1.5,3.75,3.27,2.48,2.83
92461,2886,Pass,0,1,1.5,2.5,4,3.22,3.41
80944,2887,Pass,0,1,1.5,4.1,4.16,3.59,3.89
76707,2888,Pass with distinction,1,0,1.5,2.19,4.69,4.22,4.05
52757,2889,Pass,0,1,1.5,2.34,3.78,2.62,2.94
62328,2890,Pass with distinction,1,0,1.5,3.83,4,3.5,3.57
31921,2891,Pass,0,1,1.5,2.99,4.22,2.91,3.42
60872,2892,Pass with distinction,1,0,1.5,4.03,4.4,3.86,3.95
42369,2893,Pass,0,1,1.5,3.54,4.33,3.68,4.09
63204,2894,Pass,0,1,1.5,3.2,3.82,3.11,3.14
62418,2895,Pass,0,1,1.5,2.22,4.38,3.78,4.41
65893,2896,Pass,1,0,1.5,2.99,3.91,3.14,3.59
61942,2897,Pass,0,1,1.5,2.99,3.51,2.75,2.8
38950,2898,Pass,1,0,1.5,2.34,3.76,3.43,3.39
44395,2899,Pass,0,1,1.5,2.92,3.62,3.07,3.31
82261,2900,Pass,0,1,1.5,3.5,3.82,3.08,3.72
27395,2901,Pass,1,0,1.5,3.83,4.18,2.91,3.73
48065,2902,Pass,0,1,1.2,3.13,3.73,3.23,3.47
32042,2903,Pass,0,1,1.2,2.86,2.69,2.6,3.55
67189,2904,Pass,0,1,1.2,2,2.18,2.57,3.03
78423,2905,Pass,0,1,1.2,3.84,3.29,2.77,4.03
70544,2906,Borderline pass,0,1,1.3,2.5,1.8,1.3,1.76
